city,local,airport,,,,
Екатеринбург,Свердловская область,Екатеринбург,,,,
Нижний Тагил,Свердловская область,,,,,
Каменск-Уральский,Свердловская область,,,,,
Первоуральск,Свердловская область,,,,,
Серов,Свердловская область,,,,,
Новоуральск,Свердловская область,,,,,
Верхняя Пышма,Свердловская область,,,,,
Асбест,Свердловская область,,,,,
Ревда,Свердловская область,,,,,
Берёзовский,Свердловская область,,,,,
Полевской,Свердловская область,,,,,
Краснотурьинск,Свердловская область,,,,,
Владикавказ,Северная Осетия,Владкавказ,,,,
Смоленск,Смоленская область,,,,,
Вязьма,Смоленская область,,,,,
Ставрополь,Ставропольский край,"Минеральные Воды, Ставрополь",,,,
Пятигорск,Ставропольский край,,,,,
Кисловодск,Ставропольский край,,,,,
Невинномысск,Ставропольский край,,,,,
Ессентуки,Ставропольский край,,,,,
Михайловск,Ставропольский край,,,,,
Минеральные Воды,Ставропольский край,,,,,
Георгиевск,Ставропольский край,,,,,
Будённовск,Ставропольский край,,,,,
Тамбов,Тамбовская область,Тамбов,,,,
Мичуринск,Тамбовская область,,,,,
Казань,Татарстан,"Казань, Нижнекамск",,,,
Набережные Челны,Татарстан,,,,,
Нижнекамск,Татарстан,,,,,
Альметьевск,Татарстан,,,,,
Зеленодольск,Татарстан,,,,,
Бугульма,Татарстан,,,,,
Елабуга,Татарстан,,,,,
Лениногорск,Татарстан,,,,,
Чистополь,Татарстан,,,,,
Тверь,Тверская область,,,,,
Ржев,Тверская область,,,,,
Томск,Томская область,Томск,,,,
Северск,Томская область,,,,,
Тула,Тульская область,Калуга,,,,
Новомосковск,Тульская область,,,,,
Донской,Тульская область,,,,,
Алексин,Тульская область,,,,,
Щёкино,Тульская область,,,,,
Кызыл,Тыва,Кызыл,,,,
Тюмень,Тюменская область,Тюмень,,,,
Тобольск,Тюменская область,,,,,
Ишим,Тюменская область,,,,,
Ижевск,Удмуртия,Ижевск,,,,
Воткинск,Удмуртия,,,,,
Сарапул,Удмуртия,,,,,
Глазов,Удмуртия,,,,,
Ульяновск,Ульяновская область,Ульяновск,,,,
Димитровград,Ульяновская область,,,,,
Хабаровск,Хабаровский край,Хабаровск,,,,
Комсомольск-на-Амуре,Хабаровский край,,,,,
Абакан,Хакасия,Абакан,,,,
Черногорск,Хакасия,,,,,
Сургут,Ханты-Мансийский АО,"Ханты-Мансийск, Сургут",,,,
Нижневартовск,Ханты-Мансийский АО,,,,,
Нефтеюганск,Ханты-Мансийский АО,,,,,
Ханты-Мансийск,Ханты-Мансийский АО,,,,,
Когалым,Ханты-Мансийский АО,,,,,
Нягань,Ханты-Мансийский АО,,,,,
Челябинск,Челябинская область,"Магнитогорск, Челябинск",,,,
Магнитогорск,Челябинская область,,,,,
Златоуст,Челябинская область,,,,,
Миасс,Челябинская область,,,,,
Копейск,Челябинская область,,,,,
Озёрск,Челябинская область,,,,,
Троицк,Челябинская область,,,,,
Снежинск,Челябинская область,,,,,
Грозный,Чечня,Грозный,,,,
Урус-Мартан,Чечня,,,,,
Гудермес,Чечня,,,,,
Шали,Чечня,,,,,
Чебоксары,Чувашия,Чебоксары,,,,
Новочебоксарск,Чувашия,,,,,
Якутск,Якутия,Якутск,,,,
Нерюнгри,Якутия,,,,,
Новый Уренгой,Ямало-Ненецкий АО,Новый Уренгой,,,,
Ноябрьск,Ямало-Ненецкий АО,,,,,
Салехард,Ямало-Ненецкий АО,,,,,
Ярославль,Ярославская область,Ярославль,,,,
Рыбинск,Ярославская область,,,,,

,,Дубай,,,,
,,,,,,
,,Стамбул,,,,
,,,,,,
,,Баку,,,,
,,,,,,
,,Анталья,,,,
,,,,,,
,,Нурсултан,,,,
,,,,,,
,,Алматы,,,,
,,,,,,
,,Минск,,,,
,,,,,,
